"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20180601","금","여","20대","서울특별시","강남구","일원동","치킨","5"
"20180601","금","여","40대","서울특별시","강남구","청담동","치킨","5"
"20180601","금","여","40대","서울특별시","강남구","역삼동","치킨","59"
"20180601","금","여","40대","서울특별시","강남구","세곡동","치킨","5"
"20180601","금","여","50대","서울특별시","강남구","역삼동","치킨","21"
"20180601","금","남","10대","서울특별시","강남구","세곡동","치킨","5"
"20180601","금","여","10대","서울특별시","강남구","개포동","치킨","5"
"20180601","금","여","10대","서울특별시","강남구","삼성동","치킨","5"
"20180601","금","남","50대","서울특별시","강남구","논현동","치킨","13"
"20180601","금","남","10대","서울특별시","강남구","대치동","치킨","5"
"20180601","금","남","50대","서울특별시","강남구","대치동","치킨","5"
"20180601","금","남","40대","서울특별시","강남구","일원동","치킨","5"
"20180601","금","남","40대","서울특별시","강남구","수서동","치킨","5"
"20180601","금","남","40대","서울특별시","강남구","세곡동","치킨","5"
"20180601","금","남","40대","서울특별시","강남구","삼성동","치킨","52"
"20180601","금","남","40대","서울특별시","강남구","도곡동","치킨","5"
"20180601","금","남","40대","서울특별시","강남구","대치동","치킨","5"
"20180601","금","남","40대","서울특별시","강남구","논현동","치킨","24"
"20180601","금","여","30대","서울특별시","강남구","대치동","치킨","5"
"20180601","금","남","10대","서울특별시","강남구","역삼동","치킨","9"
"20180601","금","남","10대","서울특별시","강남구","삼성동","치킨","14"
"20180601","금","남","50대","서울특별시","강남구","수서동","치킨","5"
"20180601","금","여","50대","서울특별시","강남구","일원동","치킨","5"
"20180601","금","여","40대","서울특별시","강남구","삼성동","치킨","90"
"20180601","금","남","60대이상","서울특별시","강남구","역삼동","치킨","9"
"20180601","금","남","60대이상","서울특별시","강남구","수서동","치킨","5"
"20180601","금","여","40대","서울특별시","강남구","논현동","치킨","41"
"20180601","금","여","40대","서울특별시","강남구","개포동","치킨","26"
"20180601","금","남","10대","서울특별시","강남구","도곡동","치킨","5"
"20180601","금","남","60대이상","서울특별시","강남구","개포동","치킨","5"
"20180601","금","남","10대","서울특별시","강남구","일원동","치킨","7"
"20180601","금","여","30대","서울특별시","강남구","일원동","치킨","5"
"20180601","금","여","30대","서울특별시","강남구","역삼동","치킨","43"
"20180601","금","여","60대이상","서울특별시","강남구","일원동","치킨","5"
"20180601","금","여","60대이상","서울특별시","강남구","수서동","치킨","5"
"20180601","금","여","30대","서울특별시","강남구","세곡동","치킨","5"
"20180601","금","여","30대","서울특별시","강남구","삼성동","치킨","49"
"20180601","금","여","20대","서울특별시","강남구","논현동","치킨","12"
"20180601","금","여","20대","서울특별시","강남구","대치동","치킨","5"
"20180601","금","여","20대","서울특별시","강남구","삼성동","치킨","26"
"20180601","금","남","20대","서울특별시","강남구","논현동","치킨","28"
"20180601","금","남","20대","서울특별시","강남구","대치동","치킨","5"
"20180601","금","남","20대","서울특별시","강남구","도곡동","치킨","5"
"20180601","금","남","20대","서울특별시","강남구","수서동","치킨","5"
"20180601","금","남","20대","서울특별시","강남구","압구정동","치킨","5"
"20180601","금","남","30대","서울특별시","강남구","대치동","치킨","5"
"20180601","금","여","20대","서울특별시","강남구","수서동","치킨","5"
"20180601","금","남","30대","서울특별시","강남구","세곡동","치킨","5"
"20180601","금","남","30대","서울특별시","강남구","압구정동","치킨","5"
"20180601","금","남","50대","서울특별시","강남구","개포동","치킨","10"
"20180601","금","남","30대","서울특별시","강남구","역삼동","치킨","41"
"20180601","금","여","50대","서울특별시","강남구","도곡동","치킨","5"
"20180601","금","여","50대","서울특별시","강남구","삼성동","치킨","32"
"20180601","금","여","50대","서울특별시","강남구","압구정동","치킨","5"
"20180601","금","남","30대","서울특별시","강남구","일원동","치킨","5"
"20180601","금","여","50대","서울특별시","강남구","수서동","치킨","8"
"20180601","금","여","10대","서울특별시","강남구","역삼동","치킨","5"
"20180601","금","여","20대","서울특별시","강남구","개포동","치킨","6"
"20180601","금","여","20대","서울특별시","강남구","도곡동","치킨","5"
"20180601","금","여","20대","서울특별시","강남구","압구정동","치킨","5"
"20180601","금","여","20대","서울특별시","강남구","역삼동","치킨","31"
"20180601","금","여","30대","서울특별시","강남구","개포동","치킨","15"
"20180601","금","여","60대이상","서울특별시","강남구","삼성동","치킨","12"
"20180601","금","남","50대","서울특별시","강남구","역삼동","치킨","11"
"20180601","금","남","50대","서울특별시","강남구","압구정동","치킨","5"
"20180601","금","남","50대","서울특별시","강남구","삼성동","치킨","19"
"20180601","금","남","50대","서울특별시","강남구","도곡동","치킨","5"
"20180601","금","여","60대이상","서울특별시","강남구","논현동","치킨","11"
"20180601","금","남","10대","서울특별시","강남구","수서동","치킨","5"
"20180601","금","여","60대이상","서울특별시","강남구","역삼동","치킨","9"
"20180601","금","남","40대","서울특별시","강남구","역삼동","치킨","43"
"20180601","금","남","40대","서울특별시","강남구","개포동","치킨","12"
"20180601","금","여","40대","서울특별시","강남구","대치동","치킨","5"
"20180601","금","여","40대","서울특별시","강남구","도곡동","치킨","12"
"20180601","금","남","60대이상","서울특별시","강남구","논현동","치킨","5"
"20180601","금","남","60대이상","서울특별시","강남구","도곡동","치킨","5"
"20180601","금","남","60대이상","서울특별시","강남구","삼성동","치킨","8"
"20180601","금","남","60대이상","서울특별시","강남구","세곡동","치킨","5"
"20180601","금","남","60대이상","서울특별시","강남구","압구정동","치킨","5"
"20180601","금","여","30대","서울특별시","강남구","수서동","치킨","5"
"20180601","금","여","40대","서울특별시","강남구","수서동","치킨","5"
"20180601","금","여","40대","서울특별시","강남구","압구정동","치킨","5"
"20180601","금","여","40대","서울특별시","강남구","일원동","치킨","5"
"20180601","금","여","60대이상","서울특별시","강남구","개포동","치킨","5"
"20180601","금","남","10대","서울특별시","강남구","논현동","치킨","9"
"20180601","금","남","10대","서울특별시","강남구","개포동","치킨","6"
"20180601","금","남","30대","서울특별시","강남구","신사동","치킨","5"
"20180601","금","남","20대","서울특별시","강남구","개포동","치킨","17"
"20180601","금","남","20대","서울특별시","강남구","삼성동","치킨","24"
"20180601","금","남","20대","서울특별시","강남구","세곡동","치킨","5"
"20180601","금","남","20대","서울특별시","강남구","역삼동","치킨","28"
"20180601","금","남","20대","서울특별시","강남구","일원동","치킨","6"
"20180601","금","남","20대","서울특별시","강남구","청담동","치킨","5"
"20180601","금","여","30대","서울특별시","강남구","도곡동","치킨","6"
"20180601","금","남","30대","서울특별시","강남구","수서동","치킨","5"
"20180601","금","남","30대","서울특별시","강남구","삼성동","치킨","46"
"20180601","금","남","30대","서울특별시","강남구","도곡동","치킨","5"
"20180601","금","남","30대","서울특별시","강남구","논현동","치킨","29"
"20180601","금","남","30대","서울특별시","강남구","개포동","치킨","20"
"20180601","금","여","10대","서울특별시","강남구","논현동","치킨","6"
"20180601","금","여","30대","서울특별시","강남구","논현동","치킨","34"
"20180601","금","여","50대","서울특별시","강남구","개포동","치킨","9"
"20180601","금","여","50대","서울특별시","강남구","논현동","치킨","11"
"20180601","금","여","30대","서울특별시","강동구","상일동","치킨","5"
"20180601","금","여","30대","서울특별시","강동구","둔촌동","치킨","5"
"20180601","금","여","30대","서울특별시","강동구","길동","치킨","7"
"20180601","금","남","60대이상","서울특별시","강동구","성내동","치킨","10"
"20180601","금","남","20대","서울특별시","강동구","둔촌동","치킨","5"
"20180601","금","남","10대","서울특별시","강동구","천호동","치킨","5"
"20180601","금","여","10대","서울특별시","강동구","성내동","치킨","9"
"20180601","금","여","50대","서울특별시","강동구","천호동","치킨","5"
"20180601","금","여","50대","서울특별시","강동구","성내동","치킨","34"
"20180601","금","여","50대","서울특별시","강동구","상일동","치킨","5"
"20180601","금","여","20대","서울특별시","강동구","길동","치킨","5"
"20180601","금","여","20대","서울특별시","강동구","천호동","치킨","5"
"20180601","금","남","30대","서울특별시","강동구","명일동","치킨","5"
"20180601","금","남","30대","서울특별시","강동구","성내동","치킨","74"
"20180601","금","여","40대","서울특별시","강동구","상일동","치킨","5"
"20180601","금","남","40대","서울특별시","강동구","길동","치킨","5"
"20180601","금","여","60대이상","서울특별시","강동구","천호동","치킨","5"
"20180601","금","여","60대이상","서울특별시","강동구","성내동","치킨","17"
"20180601","금","남","10대","서울특별시","강동구","성내동","치킨","17"
"20180601","금","남","50대","서울특별시","강동구","길동","치킨","5"
"20180601","금","남","50대","서울특별시","강동구","성내동","치킨","34"
"20180601","금","여","30대","서울특별시","강동구","암사동","치킨","5"
"20180601","금","남","20대","서울특별시","강동구","성내동","치킨","50"
"20180601","금","여","40대","서울특별시","강동구","천호동","치킨","7"
"20180601","금","여","40대","서울특별시","강동구","암사동","치킨","5"
"20180601","금","여","40대","서울특별시","강동구","성내동","치킨","112"
"20180601","금","여","40대","서울특별시","강동구","명일동","치킨","5"
"20180601","금","남","30대","서울특별시","강동구","길동","치킨","5"
"20180601","금","남","30대","서울특별시","강동구","암사동","치킨","5"
"20180601","금","남","30대","서울특별시","강동구","천호동","치킨","6"
"20180601","금","남","60대이상","서울특별시","강동구","길동","치킨","5"
"20180601","금","여","10대","서울특별시","강동구","길동","치킨","5"
"20180601","금","여","10대","서울특별시","강동구","명일동","치킨","5"
"20180601","금","남","20대","서울특별시","강동구","길동","치킨","5"
"20180601","금","남","20대","서울특별시","강동구","명일동","치킨","5"
"20180601","금","남","20대","서울특별시","강동구","상일동","치킨","5"
"20180601","금","남","20대","서울특별시","강동구","천호동","치킨","5"
"20180601","금","남","50대","서울특별시","강동구","천호동","치킨","5"
